i,t,m,index,women,girls,boys,men,Males 00-03,Females 00-03,Males 04-08,Females 04-08,Males 09-13,Females 09-13,Males 14-18,Females 14-18,Males 19-30,Females 19-30,Males 31-50,Females 31-50,Males 51-99,Females 51-99,log HSize
7005000131013,2007,South-east serbia,140,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
7005000131014,2007,South-east serbia,141,2,1,0,2,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1.609437912
7005001211001,2007,South-east serbia,142,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7005001211002,2007,South-east serbia,143,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1.386294361
7005001211003,2007,South-east serbia,144,2,1,1,4,1,0,0,1,0,0,0,0,1,1,1,0,2,1,2.079441542
7005001211004,2007,South-east serbia,145,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
7005001211005,2007,South-east serbia,146,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
7005001211006,2007,South-east serbia,147,1,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1.386294361
7005001211007,2007,South-east serbia,148,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
7005001211008,2007,South-east serbia,149,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
7005001211009,2007,South-east serbia,150,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7005001211010,2007,South-east serbia,151,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
7005001211011,2007,South-east serbia,152,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7005001211012,2007,South-east serbia,153,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7005001211013,2007,South-east serbia,154,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.6931471806
7005001211014,2007,South-east serbia,155,1,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1.386294361
7006800021001,2007,West serbia,156,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1.098612289
7006800021002,2007,West serbia,157,2,0,1,2,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1.609437912
7006800021003,2007,West serbia,158,1,0,0,3,0,0,0,0,0,0,0,0,2,0,1,1,0,0,1.386294361
7006800021004,2007,West serbia,159,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7006800021006,2007,West serbia,160,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
7006800021007,2007,West serbia,161,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
7006800021008,2007,West serbia,162,2,1,1,2,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1.791759469
7006800021009,2007,West serbia,163,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
7006800021010,2007,West serbia,164,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
7006800021011,2007,West serbia,165,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7006800021012,2007,West serbia,166,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1.098612289
7006800021013,2007,West serbia,167,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.6931471806
7006800021014,2007,West serbia,168,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1.098612289
7006800581001,2007,West serbia,169,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.6931471806
7006800581002,2007,West serbia,170,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
7006800581003,2007,West serbia,171,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
7006800581004,2007,West serbia,172,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1.098612289
7006800581006,2007,West serbia,173,3,0,2,3,2,0,0,0,0,0,0,0,2,2,1,1,0,0,2.079441542
7006800581007,2007,West serbia,174,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1.098612289
7006800581008,2007,West serbia,175,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
7006800581009,2007,West serbia,176,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7006800581010,2007,West serbia,177,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1.098612289
7006800581011,2007,West serbia,178,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1.386294361
7006800581012,2007,West serbia,179,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
7006800581013,2007,West serbia,180,3,0,0,3,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1.791759469
7006800581014,2007,West serbia,181,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
7006801561001,2007,West serbia,182,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7006801561002,2007,West serbia,183,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1.098612289
7006801561003,2007,West serbia,184,2,1,1,2,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1.791759469
7006801561004,2007,West serbia,185,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
7006801561005,2007,West serbia,186,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1.386294361
7006801561006,2007,West serbia,187,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.6931471806
7006801561008,2007,West serbia,188,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7006801561009,2007,West serbia,189,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.6931471806
7006801561010,2007,West serbia,190,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.6931471806
7006801561011,2007,West serbia,191,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7006801561012,2007,West serbia,192,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7006801561013,2007,West serbia,193,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.6931471806
7006801561014,2007,West serbia,194,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7007600151001,2007,Sumadija,195,1,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1.386294361
7007600151002,2007,Sumadija,196,2,2,0,2,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1.791759469
7007600151003,2007,Sumadija,197,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1.386294361
7007600151005,2007,Sumadija,198,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1.386294361
7007600151006,2007,Sumadija,199,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
7007600151007,2007,Sumadija,200,2,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1.386294361
7007600151010,2007,Sumadija,201,2,0,1,2,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1.609437912
7007600151011,2007,Sumadija,202,2,2,0,2,0,0,0,2,0,0,0,0,0,0,1,1,1,1,1.791759469
7007600151012,2007,Sumadija,203,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1.386294361
7007600151013,2007,Sumadija,204,3,0,0,3,0,0,0,0,0,0,0,0,1,2,0,0,2,1,1.791759469
7007600151014,2007,Sumadija,205,1,0,2,2,0,0,0,0,2,0,0,0,0,0,1,0,1,1,1.609437912
7009200531001,2007,Belgrade,206,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1.098612289
7009200531003,2007,Belgrade,207,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1.098612289
7009200531004,2007,Belgrade,208,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
7009200531005,2007,Belgrade,209,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1.098612289
7009200531006,2007,Belgrade,210,2,0,0,2,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1.386294361
7009200531007,2007,Belgrade,211,1,2,0,1,0,0,0,0,0,2,0,0,0,0,0,1,1,0,1.386294361
7009200531009,2007,Belgrade,212,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7009200531010,2007,Belgrade,213,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7009200531011,2007,Belgrade,214,2,2,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1.791759469
7009200531012,2007,Belgrade,215,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1.098612289
7009200531013,2007,Belgrade,216,2,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1.386294361
7009200531014,2007,Belgrade,217,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
7010600461001,2007,Belgrade,218,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
7010600461004,2007,Belgrade,219,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1.098612289
7010600461005,2007,Belgrade,220,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.6931471806
7010600461006,2007,Belgrade,221,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1.098612289
7010600461007,2007,Belgrade,222,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.6931471806
